"id","id_atribuicao","id_atribuicaocasada"
17,271,273
18,272,273
19,274,276
20,275,276
21,277,279
22,278,279
23,280,282
24,281,282
25,283,285
26,284,285
27,287,288
28,286,288
29,289,291
30,290,291
31,292,294
32,293,294
33,295,301
34,298,301
35,296,302
36,297,302
37,295,303
38,300,303
39,296,304
40,299,304
41,305,311
42,308,311
43,306,312
44,307,312
45,305,313
46,310,313
47,306,314
48,309,314
49,315,319
50,318,319
51,316,320
52,317,320
53,321,325
54,324,325
55,322,326
56,323,326
57,327,331
58,330,331
59,328,332
60,329,332
61,333,337
62,336,337
63,334,338
64,335,338
65,339,343
66,342,343
67,340,344
68,341,344
69,345,349
70,348,349
71,346,350
72,347,350
73,351,355
74,354,355
75,352,356
76,353,356
77,357,361
78,360,361
79,358,362
80,359,362
81,363,367
82,366,367
83,364,368
84,365,368
85,369,373
86,372,373
87,370,374
88,371,374
89,375,379
90,378,379
91,376,380
92,377,380
93,381,385
94,384,385
95,382,386
96,383,386
103,387,391
104,390,391
105,388,392
106,389,392
