"id","nome"
3,"História"
5,"Espanhol Avançado"
6,"Espanhol Básico T1"
7,"Espanhol Básico T2"
8,"Espanhol Intermediário T1"
9,"Espanhol Intermediário T2"
10,"Eletrotécnica Geral"
11,"Fundamentos da Matemática"
12,"Legislação Aplicada e Ética Profissional"
13,"Normas Técnicas e de Segurança"
14,"Eletrônica Básica"
15,"Informática Aplicada"
17,"Redação Técnica"
19,"Eletrônica Industrial"
20,"Gestão de Negócios I"
21,"Inglês Técnico"
22,"Laboratório de Eletrônica Industrial"
23,"Laboratório de Sistemas Microprocessados"
24,"Sistemas Microprocessados"
25,"Telecomunicações"
26,"Arte"
27,"Biologia"
28,"Educação Física"
29,"Filosofia"
30,"Física"
31,"Geografia"
33,"Língua Inglesa"
34,"Língua Portuguesa e Literatura"
35,"Matemática"
36,"Química"
37,"Sociologia"
38,"Elementos de Lógica"
39,"Laboratório de Informática Aplicada"
40,"Linguagem de Programação I - Python"
41,"Matemática Aplicada"
42,"Aplicativos I"
43,"Banco de Dados"
44,"Desenvolvimento Web - PHP"
45,"Linguagem de Programação II - C#"
46,"Linguagem de Programação III - JAVA"
47,"Sistemas Operacionais"
48,"Análise e Projeto de Sistemas"
49,"Aplicativos II"
50,"Cálculos Mecânicos"
51,"Tecnologia Mecânica"
52,"Instalações e Equipamentos Industriais"
53,"Órgãos de Máquinas"
54,"Automação Industrial"
55,"Computação Gráfica"
56,"Hidráulica e Pneumática"
57,"Máquinas Térmicas e de Transporte"
58,"Mecânica Prática"
60,"Laboratório de Eletrotécnica Geral"
61,"Sistemas Digitais I"
64,"Fundamentos de Informática"
66,"Desenho Técnico Mecânico"
67,"Desenho Gráfico"
70,"Sistemas Digitais II"
71,"Laboratório de Eletrônica Básica"
72,"Gestão de Negócios II"
73,"Linguagem de Programação IV - C#"
74,"Linguagem de Programação VI - Java"
75,"Linguagem de Programação V - PHP"
76,"Resistência dos Materiais"
95,"Técnicas de Programação"
96,"Programação de Máquinas CNC"
97,"Laboratório de Química"
98,"Laboratório de Física"
106,"as"
